ab	4,0,0.00030961669453216916,5.5450815126982364e-05
above	2,5,0.0001857700167193015,0.0003327048907618942
absolutely	0,1,6.192333890643384e-05,0.00011090163025396473
absorb	0,1,6.192333890643384e-05,0.00011090163025396473
abuse	0,1,6.192333890643384e-05,0.00011090163025396473
acce	0,1,6.192333890643384e-05,0.00011090163025396473
accept	0,3,6.192333890643384e-05,0.00022180326050792945
accepted	0,1,6.192333890643384e-05,0.00011090163025396473
accepting	0,2,6.192333890643384e-05,0.0001663524453809471
accomodates	1,0,0.00012384667781286768,5.5450815126982364e-05
accompanied	1,0,0.00012384667781286768,5.5450815126982364e-05
accounts	0,1,6.192333890643384e-05,0.00011090163025396473
accurate	1,0,0.00012384667781286768,5.5450815126982364e-05
aches	0,1,6.192333890643384e-05,0.00011090163025396473
achieved	1,0,0.00012384667781286768,5.5450815126982364e-05
acrobat	0,1,6.192333890643384e-05,0.00011090163025396473
across	5,4,0.000371540033438603,0.00027725407563491185
act	0,3,6.192333890643384e-05,0.00022180326050792945
activate	0,4,6.192333890643384e-05,0.00027725407563491185
active	1,0,0.00012384667781286768,5.5450815126982364e-05
activities	7,0,0.0004953867112514707,5.5450815126982364e-05
actor	0,1,6.192333890643384e-05,0.00011090163025396473
adage	0,1,6.192333890643384e-05,0.00011090163025396473
adapted	0,1,6.192333890643384e-05,0.00011090163025396473
add	2,6,0.0001857700167193015,0.0003881557058888766
added	0,2,6.192333890643384e-05,0.0001663524453809471
adding	0,2,6.192333890643384e-05,0.0001663524453809471
additionally	1,1,0.00012384667781286768,0.00011090163025396473
adhesion	0,1,6.192333890643384e-05,0.00011090163025396473
adm	1,0,0.00012384667781286768,5.5450815126982364e-05
adobe	0,12,6.192333890643384e-05,0.0007208605966507708
ads	0,5,6.192333890643384e-05,0.0003327048907618942
adv	0,1,6.192333890643384e-05,0.00011090163025396473
advanced	0,1,6.192333890643384e-05,0.00011090163025396473
advantage	1,0,0.00012384667781286768,5.5450815126982364e-05
advertisements	0,1,6.192333890643384e-05,0.00011090163025396473
advise	2,0,0.0001857700167193015,5.5450815126982364e-05
advocates	1,0,0.00012384667781286768,5.5450815126982364e-05
aec	2,0,0.0001857700167193015,5.5450815126982364e-05
aeopublishing	0,19,6.192333890643384e-05,0.0011090163025396474
affairs	1,0,0.00012384667781286768,5.5450815126982364e-05
affiliate	0,1,6.192333890643384e-05,0.00011090163025396473
afraid	1,3,0.00012384667781286768,0.00022180326050792945
afternoon	3,1,0.00024769335562573535,0.00011090163025396473
agendas	1,0,0.00012384667781286768,5.5450815126982364e-05
agonizing	0,1,6.192333890643384e-05,0.00011090163025396473
agree	1,1,0.00012384667781286768,0.00011090163025396473
aids	1,0,0.00012384667781286768,5.5450815126982364e-05
alex	4,0,0.00030961669453216916,5.5450815126982364e-05
allay	0,1,6.192333890643384e-05,0.00011090163025396473
allocate	1,0,0.00012384667781286768,5.5450815126982364e-05
allocation	5,0,0.000371540033438603,5.5450815126982364e-05
allow	4,5,0.00030961669453216916,0.0003327048907618942
alpra	0,1,6.192333890643384e-05,0.00011090163025396473
already	8,3,0.0005573100501579045,0.00022180326050792945
always	0,6,6.192333890643384e-05,0.0003881557058888766
amigo	0,1,6.192333890643384e-05,0.00011090163025396473
amount	1,1,0.00012384667781286768,0.00011090163025396473
amy	0,2,6.192333890643384e-05,0.0001663524453809471
an	20,41,0.0013003901170351106,0.0023289342353332593
analyses	1,0,0.00012384667781286768,5.5450815126982364e-05
analyze	0,1,6.192333890643384e-05,0.00011090163025396473
anita	2,0,0.0001857700167193015,5.5450815126982364e-05
annoy	0,1,6.192333890643384e-05,0.00011090163025396473
annoying	1,0,0.00012384667781286768,5.5450815126982364e-05
anonymously	0,1,6.192333890643384e-05,0.00011090163025396473
another	6,7,0.00043346337234503684,0.0004436065210158589
answers	0,5,6.192333890643384e-05,0.0003327048907618942
antoine	1,0,0.00012384667781286768,5.5450815126982364e-05
anywhere	0,3,6.192333890643384e-05,0.00022180326050792945
apologies	1,1,0.00012384667781286768,0.00011090163025396473
appear	4,1,0.00030961669453216916,0.00011090163025396473
applied	5,0,0.000371540033438603,5.5450815126982364e-05
approach	1,1,0.00012384667781286768,0.00011090163025396473
appropriate	3,0,0.00024769335562573535,5.5450815126982364e-05
arbitrage	4,0,0.00030961669453216916,5.5450815126982364e-05
architect	0,1,6.192333890643384e-05,0.00011090163025396473
archive	0,1,6.192333890643384e-05,0.00011090163025396473
are	55,84,0.0034677069787602947,0.004713319285793501
argentine	4,0,0.00030961669453216916,5.5450815126982364e-05
arizona	1,0,0.00012384667781286768,5.5450815126982364e-05
ark	0,1,6.192333890643384e-05,0.00011090163025396473
arrangements	0,2,6.192333890643384e-05,0.0001663524453809471
arrest	0,2,6.192333890643384e-05,0.0001663524453809471
arrival	1,0,0.00012384667781286768,5.5450815126982364e-05
art	0,2,6.192333890643384e-05,0.0001663524453809471
articles	0,1,6.192333890643384e-05,0.00011090163025396473
asia	0,1,6.192333890643384e-05,0.00011090163025396473
assault	0,1,6.192333890643384e-05,0.00011090163025396473
assays	0,1,6.192333890643384e-05,0.00011090163025396473
assembly	1,0,0.00012384667781286768,5.5450815126982364e-05
